pname,purl
librtpi,pkg:generic/librtpi@1.0.1
jsoncons,pkg:generic/jsoncons@1.3.0
snowhouse,pkg:generic/snowhouse@5.0.0
libaec,pkg:generic/libaec@1.1.3
libxaw,pkg:generic/libxaw@1.0.13
lcm,pkg:generic/lcm@1.4.0
moos-core,pkg:generic/moos-core@10.4.0
quazip,pkg:generic/quazip@1.4
rttr,pkg:generic/rttr@0.9.6+20210811
miniaudio,pkg:generic/miniaudio@0.11.22
libjuice,pkg:generic/libjuice@1.5.8
yajl,pkg:generic/yajl@2.1.0
pthread-stubs,pkg:generic/pthread-stubs@0.4
liblo,pkg:generic/liblo@0.32
libspng,pkg:generic/libspng@0.7.4
blpapi,pkg:generic/blpapi@3.25.1
liblemon,pkg:generic/liblemon
qttranslations,pkg:generic/qttranslations@6.8.2
string-theory,pkg:generic/string-theory@3.8
tinycbor,pkg:generic/tinycbor
nanogui,pkg:generic/nanogui
3fd,pkg:generic/3fd@2.6.3
ngtcp2,pkg:generic/ngtcp2@1.11.0
duilib,pkg:generic/duilib
gegl,pkg:generic/gegl@0.4.54
azure-core-tracing-opentelemetry-cpp,pkg:generic/azure-core-tracing-opentelemetry-cpp
pravila00-enumflag,pkg:generic/pravila00-enumflag
directxmesh,pkg:generic/directxmesh
libxmlpp,pkg:generic/libxmlpp@5.4.0
tuplet,pkg:generic/tuplet@2.1.1
cgicc,pkg:generic/cgicc@3.2.20
webthing-cpp,pkg:generic/webthing-cpp@1.2.0
zydis,pkg:generic/zydis
eabase,pkg:generic/eabase
opentracing,pkg:generic/opentracing@1.6.0
sfsexp,pkg:generic/sfsexp@1.4.1
cpprealm,pkg:generic/cpprealm@2.2.0
caf,pkg:generic/caf@1.0.2
azure-messaging-eventhubs-checkpointstore-blob-cpp,pkg:generic/azure-messaging-eventhubs-checkpointstore-blob-cpp
boost-stacktrace,pkg:generic/boost-stacktrace@1.87.0
egl-registry,pkg:generic/egl-registry
bigint,pkg:generic/bigint
variant-lite,pkg:generic/variant-lite@2.0.0
dv-processing,pkg:generic/dv-processing@1.7.9
qt5-winextras,pkg:generic/qt5-winextras@5.15.16
jack2,pkg:generic/jack2
xcb-proto,pkg:generic/xcb-proto@1.14.1
p-ranav-csv,pkg:generic/p-ranav-csv
status-code,pkg:generic/status-code
libfreenect2,pkg:generic/libfreenect2@0.2.1
qt5-3d,pkg:generic/qt5-3d@5.15.16
armadillo,pkg:generic/armadillo@14.2.2
spirv-reflect,pkg:generic/spirv-reflect@1.4.304.1
sord,pkg:generic/sord@0.16.18
wangle,pkg:generic/wangle
scenepic,pkg:generic/scenepic@1.1.1
ableton,pkg:generic/ableton@3.0.6
vulkan-sdk-components,pkg:generic/vulkan-sdk-components@1.4.304.1
portaudio,pkg:generic/portaudio@19.7
cryptopp,pkg:generic/cryptopp@8.9.0
gz-math7,pkg:generic/gz-math7@7.3.0
libgpiod,pkg:generic/libgpiod@2.1.3
ponder,pkg:generic/ponder@3.0.0
libcsv,pkg:generic/libcsv@3.0.3
nanoarrow,pkg:generic/nanoarrow@0.6.0
function2,pkg:generic/function2
boost-iterator,pkg:generic/boost-iterator@1.87.0
boinc,pkg:generic/boinc@8.0.4
libcds,pkg:generic/libcds@2.3.3
matroska,pkg:generic/matroska@1.7.1
boost-vmd,pkg:generic/boost-vmd@1.87.0
xnnpack,pkg:generic/xnnpack
rhash,pkg:generic/rhash@1.4.5
libunifex,pkg:generic/libunifex@0.4.0
cairomm,pkg:generic/cairomm@1.18.0
nanovg,pkg:generic/nanovg
ruapu,pkg:generic/ruapu@0.1.0
argtable3,pkg:generic/argtable3
glad,pkg:generic/glad@0.1.36
qoi,pkg:generic/qoi
muparser,pkg:generic/muparser@2.3.5
kdalgorithms,pkg:generic/kdalgorithms@1.4
kcp,pkg:generic/kcp@1.7
skia,pkg:generic/skia@134
libstk,pkg:generic/libstk@4.6.1
luabridge,pkg:generic/luabridge@2.8
minc,pkg:generic/minc
ztd-encoding-tables,pkg:generic/ztd-encoding-tables
cctag,pkg:generic/cctag
nnpack,pkg:generic/nnpack
numcpp,pkg:generic/numcpp@2.14.0
mlpack,pkg:generic/mlpack@4.5.1
asynch,pkg:generic/asynch
oatpp-swagger,pkg:generic/oatpp-swagger@1.3.0
ppmagic,pkg:generic/ppmagic
boost-graph-parallel,pkg:generic/boost-graph-parallel@1.87.0
orocos-kdl,pkg:generic/orocos-kdl@1.5.1
edflib,pkg:generic/edflib@1.27
basisu,pkg:generic/basisu@1.50.0
ndis-driver-library,pkg:generic/ndis-driver-library@1.2.0
boost-predef,pkg:generic/boost-predef@1.87.0
minhook,pkg:generic/minhook@1.3.3
boost-describe,pkg:generic/boost-describe@1.87.0
libnoise,pkg:generic/libnoise@1.0.0
libsmb2,pkg:generic/libsmb2@6.2
cspice,pkg:generic/cspice@67
pcg,pkg:generic/pcg
libadlmidi,pkg:generic/libadlmidi@1.5.1
kf5service,pkg:generic/kf5service@5.98.0
libxdmcp,pkg:generic/libxdmcp@1.1.3
yomm2,pkg:generic/yomm2@1.6.0
vsgxchange,pkg:generic/vsgxchange@1.1.4
hikogui,pkg:generic/hikogui@0.8.1
foxi,pkg:generic/foxi
ace,pkg:generic/ace@8.0.2
xcb,pkg:generic/xcb@1.14
boost-concept-check,pkg:generic/boost-concept-check@1.87.0
aws-c-event-stream,pkg:generic/aws-c-event-stream@0.5.0
taocpp-json,pkg:generic/taocpp-json
libe57,pkg:generic/libe57
boost-histogram,pkg:generic/boost-histogram@1.87.0
wavpack,pkg:generic/wavpack@5.7.0
cuda-api-wrappers,pkg:generic/cuda-api-wrappers@0.8.0
xlsxio,pkg:generic/xlsxio@0.2.34
uni-algo,pkg:generic/uni-algo
boost-statechart,pkg:generic/boost-statechart@1.87.0
sqlite-modern-cpp,pkg:generic/sqlite-modern-cpp
mdl-sdk,pkg:generic/mdl-sdk@2024.1
tinyutf8,pkg:generic/tinyutf8@4.4.3
directx-dxc,pkg:generic/directx-dxc
cppfs,pkg:generic/cppfs@1.3.0
robin-map,pkg:generic/robin-map
cddlib,pkg:generic/cddlib
lely-core,pkg:generic/lely-core@2.3.5
fixed-containers,pkg:generic/fixed-containers
graphite2,pkg:generic/graphite2@1.3.14
curlcpp,pkg:generic/curlcpp@3.1
idevicerestore,pkg:generic/idevicerestore
starlink-ast,pkg:generic/starlink-ast@9.2.12
itpp,pkg:generic/itpp
json-glib,pkg:generic/json-glib@1.10.6
daw-json-link,pkg:generic/daw-json-link@3.30.2
kissfft,pkg:generic/kissfft@131.1.0
serf,pkg:generic/serf@1.3.10
boost-atomic,pkg:generic/boost-atomic@1.87.0
mpmcqueue,pkg:generic/mpmcqueue
unittest-cpp,pkg:generic/unittest-cpp
sdbus-cpp,pkg:generic/sdbus-cpp@2.1.0
console-bridge,pkg:generic/console-bridge
ztd-text,pkg:generic/ztd-text
prometheus-cpp,pkg:generic/prometheus-cpp
blingfire,pkg:generic/blingfire@0.1.8.1
readline-osx,pkg:generic/readline-osx
nifly,pkg:generic/nifly@1.0.0
sdl2,pkg:generic/sdl2@2.32.2
sleepy-discord,pkg:generic/sleepy-discord
libgeotiff,pkg:generic/libgeotiff@1.7.4
boost-python,pkg:generic/boost-python@1.87.0
json-schema-validator,pkg:generic/json-schema-validator@2.3.0
fmi4cpp,pkg:generic/fmi4cpp@0.8.0
hps,pkg:generic/hps
recast,pkg:generic/recast
ode,pkg:generic/ode@0.16.6
gz-common5,pkg:generic/gz-common5@5.4.1
libeventheader-decode,pkg:generic/libeventheader-decode@1.4.0
boost-callable-traits,pkg:generic/boost-callable-traits@1.87.0
sigmatch,pkg:generic/sigmatch@0.2.0
wolf-midi,pkg:generic/wolf-midi@1.0.1
lexbor,pkg:generic/lexbor@2.4.0
nlohmann-json,pkg:generic/nlohmann-json
bdwgc,pkg:generic/bdwgc@8.2.8
jkqtplotter,pkg:generic/jkqtplotter
x264,pkg:generic/x264@0.164.3108
vcpkg-tool-meson,pkg:generic/vcpkg-tool-meson@1.6.1
clipper2,pkg:generic/clipper2@1.5.2
sundials,pkg:generic/sundials
mariadb-connector-cpp,pkg:generic/mariadb-connector-cpp@1.1.5
rxcpp,pkg:generic/rxcpp@4.1.1
boost-date-time,pkg:generic/boost-date-time@1.87.0
libsystemd,pkg:generic/libsystemd@256.4
discordcoreapi,pkg:generic/discordcoreapi@2.0.8
dukglue,pkg:generic/dukglue
libmultisense,pkg:generic/libmultisense@6.1.0
air-ctl,pkg:generic/air-ctl@1.1.2
libosdp,pkg:generic/libosdp@3.0.5
eastl,pkg:generic/eastl@3.21.23
boost-uninstall,pkg:generic/boost-uninstall@1.87.0
lapack,pkg:generic/lapack
libopenmpt,pkg:generic/libopenmpt@0.7.13
qtserialbus,pkg:generic/qtserialbus@6.8.2
libsvm,pkg:generic/libsvm@3.35
hdf5,pkg:generic/hdf5@1.14.4.3
boost-process,pkg:generic/boost-process@1.87.0
libnice-gst,pkg:generic/libnice-gst@0.1.22
libmount,pkg:generic/libmount@2.40
graaf,pkg:generic/graaf@1.1.1
bento4,pkg:generic/bento4@1.6.0-641
opencolorio,pkg:generic/opencolorio
safeint,pkg:generic/safeint@3.0.28
boost-unordered,pkg:generic/boost-unordered@1.87.0
boost-phoenix,pkg:generic/boost-phoenix@1.87.0
pcl,pkg:generic/pcl@1.15.0
continuable,pkg:generic/continuable@4.2.2
liblinear,pkg:generic/liblinear@243
tomsolver,pkg:generic/tomsolver@1.0.1
libxau,pkg:generic/libxau@1.0.9
libimobiledevice,pkg:generic/libimobiledevice
zpp-bits,pkg:generic/zpp-bits@4.5
gmp,pkg:generic/gmp@6.3.0
psimd,pkg:generic/psimd
directxtk12,pkg:generic/directxtk12
eventpp,pkg:generic/eventpp
h3,pkg:generic/h3
gexiv2,pkg:generic/gexiv2@0.14.3
ableton-link,pkg:generic/ableton-link@3.1.2
cutelyst2,pkg:generic/cutelyst2@2.12.0
boost-odeint,pkg:generic/boost-odeint@1.87.0
easyexif,pkg:generic/easyexif
boost-random,pkg:generic/boost-random@1.87.0
clipp,pkg:generic/clipp
yasm-tool-helper,pkg:generic/yasm-tool-helper
libproxy,pkg:generic/libproxy@0.4.18
vulkan-memory-allocator-hpp,pkg:generic/vulkan-memory-allocator-hpp@3.1.0
tinkerforge,pkg:generic/tinkerforge@2.1.25
azure-storage-blobs-cpp,pkg:generic/azure-storage-blobs-cpp
freeglut,pkg:generic/freeglut@3.6.0
vcpkg-make,pkg:generic/vcpkg-make
giflib,pkg:generic/giflib@5.2.2
aliyun-oss-c-sdk,pkg:generic/aliyun-oss-c-sdk@3.11.2
rtmidi,pkg:generic/rtmidi@6.0.0
sqlitecpp,pkg:generic/sqlitecpp@3.3.2
physx,pkg:generic/physx@5.5.0
wt,pkg:generic/wt@4.11.3
libx11,pkg:generic/libx11@1.8.1
libxmu,pkg:generic/libxmu@1.1.3
ecal,pkg:generic/ecal
boost-static-string,pkg:generic/boost-static-string@1.87.0
kf5iconthemes,pkg:generic/kf5iconthemes@5.98.0
unixodbc,pkg:generic/unixodbc@2.3.11
proxsuite,pkg:generic/proxsuite@0.6.7
spdk-isal,pkg:generic/spdk-isal
cpprestsdk,pkg:generic/cpprestsdk@2.10.19
gtl,pkg:generic/gtl@1.2.0
ms-gltf,pkg:generic/ms-gltf
kdsingleapplication,pkg:generic/kdsingleapplication@1.1.0
daxa,pkg:generic/daxa@3.0.3
libvault,pkg:generic/libvault@0.61.0
sltbench,pkg:generic/sltbench@2.4.0
libqtrest,pkg:generic/libqtrest@0.4.0
alsa,pkg:generic/alsa@1.2.13
fastio,pkg:generic/fastio
boost-function,pkg:generic/boost-function@1.87.0
paho-mqttpp3,pkg:generic/paho-mqttpp3@1.5.0
flann,pkg:generic/flann
oatpp-sqlite,pkg:generic/oatpp-sqlite@1.3.0
boost-config,pkg:generic/boost-config@1.87.0
msh3,pkg:generic/msh3@0.8.0
ideviceinstaller,pkg:generic/ideviceinstaller
msix,pkg:generic/msix@1.7
apriltag,pkg:generic/apriltag@3.4.3
qtdoc,pkg:generic/qtdoc@6.8.2
libp7client,pkg:generic/libp7client@5.6
azure-data-tables-cpp,pkg:generic/azure-data-tables-cpp
decimal-for-cpp,pkg:generic/decimal-for-cpp@1.18
spine-runtimes,pkg:generic/spine-runtimes@4.1.0
pagmo2,pkg:generic/pagmo2@2.19.1
suitesparse-umfpack,pkg:generic/suitesparse-umfpack
kf5i18n,pkg:generic/kf5i18n@5.98.0
qlementine,pkg:generic/qlementine@1.1.2
kdreports,pkg:generic/kdreports@2.3.0
reflectcpp,pkg:generic/reflectcpp@0.18.0
dlpack,pkg:generic/dlpack@1.0
rsocket,pkg:generic/rsocket
minitrace,pkg:generic/minitrace
webui,pkg:generic/webui@2.4.2
libqrencode,pkg:generic/libqrencode
licensepp,pkg:generic/licensepp
qt5-serialport,pkg:generic/qt5-serialport@5.15.16
kubazip,pkg:generic/kubazip@0.3.3
cppzmq,pkg:generic/cppzmq@4.10.0
qt5-remoteobjects,pkg:generic/qt5-remoteobjects@5.15.16
libzippp,pkg:generic/libzippp@7.1-1.10.1
tinyspline,pkg:generic/tinyspline@0.6.0
qt5-gamepad,pkg:generic/qt5-gamepad@5.15.16
coroutine,pkg:generic/coroutine@1.5.0
gcem,pkg:generic/gcem@1.18.0
libxfixes,pkg:generic/libxfixes@6.0.0
ankurvdev-embedresource,pkg:generic/ankurvdev-embedresource@0.0.12
vcpkg-pkgconfig-get-modules,pkg:generic/vcpkg-pkgconfig-get-modules
sciplot,pkg:generic/sciplot@0.3.1
etl,pkg:generic/etl@20.40.0
zlib,pkg:generic/zlib@1.3.1
gz-transport,pkg:generic/gz-transport@14.0.0
gamma,pkg:generic/gamma
ring-span-lite,pkg:generic/ring-span-lite@0.7.0
qca,pkg:generic/qca@2.3.7
spaceland,pkg:generic/spaceland@7.8.2
libilbc,pkg:generic/libilbc@3.0.4
zkpp,pkg:generic/zkpp@0.2.3
qtimageformats,pkg:generic/qtimageformats@6.8.2
libmodman,pkg:generic/libmodman@2.0.1
clickhouse-cpp,pkg:generic/clickhouse-cpp@2.5.1
transwarp,pkg:generic/transwarp@2.2.3
plibsys,pkg:generic/plibsys@0.0.5
boost-coroutine,pkg:generic/boost-coroutine@1.87.0
plasma-wayland-protocols,pkg:generic/plasma-wayland-protocols@1.14.0
guile,pkg:generic/guile@3.0.10
clue,pkg:generic/clue@1.0.0
boost-hof,pkg:generic/boost-hof@1.87.0
libpng,pkg:generic/libpng@1.6.46
libcbor,pkg:generic/libcbor@0.11.0
suitesparse-camd,pkg:generic/suitesparse-camd
qttools,pkg:generic/qttools@6.8.2
cpuinfo,pkg:generic/cpuinfo
ogdf,pkg:generic/ogdf
anari,pkg:generic/anari@0.13.1
libtcod,pkg:generic/libtcod@1.24.0
corrade,pkg:generic/corrade
xproto,pkg:generic/xproto@2021.5
yoga,pkg:generic/yoga@3.2.1
gz-transport12,pkg:generic/gz-transport12@12.2.1
cereal,pkg:generic/cereal@1.3.2
implot,pkg:generic/implot@0.16
ecm,pkg:generic/ecm@6.7.0
vsgimgui,pkg:generic/vsgimgui@0.3.0
tinyorm,pkg:generic/tinyorm
shiftmedia-libgnutls,pkg:generic/shiftmedia-libgnutls@3.8.7
salome-medcoupling,pkg:generic/salome-medcoupling@9.10.0
scottt-debugbreak,pkg:generic/scottt-debugbreak@1.0
getdns,pkg:generic/getdns@1.7.3
vtk-m,pkg:generic/vtk-m@2.1.0
libcurl-simple-https,pkg:generic/libcurl-simple-https
qmex,pkg:generic/qmex
tl-expected,pkg:generic/tl-expected@1.1.0
suitesparse-ldl,pkg:generic/suitesparse-ldl
ltla-powerit,pkg:generic/ltla-powerit
minisat-master-keying,pkg:generic/minisat-master-keying@2.3.6
seacas,pkg:generic/seacas
d3dx12,pkg:generic/d3dx12
mdns,pkg:generic/mdns@1.4.3
eigen3,pkg:generic/eigen3@3.4.0
gz-msgs9,pkg:generic/gz-msgs9@9.5.0
discord-game-sdk,pkg:generic/discord-game-sdk@3.2.1
libtar,pkg:generic/libtar@1.2.20
libmicrohttpd,pkg:generic/libmicrohttpd@1.0.1
duckdb,pkg:generic/duckdb@1.2.1
libmariadb,pkg:generic/libmariadb
cello,pkg:generic/cello
libu2f-server,pkg:generic/libu2f-server@1.1.0
onednn,pkg:generic/onednn@3.7
morton-nd,pkg:generic/morton-nd@4.0.0
sfml,pkg:generic/sfml@3.0.0
bext-sml,pkg:generic/bext-sml@1.1.11
cmark,pkg:generic/cmark
elfutils,pkg:generic/elfutils@0.192
simpleini,pkg:generic/simpleini@4.22
libfabric,pkg:generic/libfabric
date,pkg:generic/date@3.0.3
vladimirshaleev-ipaddress,pkg:generic/vladimirshaleev-ipaddress@1.1.0
status-value-lite,pkg:generic/status-value-lite@1.1.0
paho-mqtt,pkg:generic/paho-mqtt@1.3.14
polymorphic-value,pkg:generic/polymorphic-value@1.3.0
cnats,pkg:generic/cnats@3.10.1
coinutils,pkg:generic/coinutils
nghttp3,pkg:generic/nghttp3@1.8.0
suitesparse-klu,pkg:generic/suitesparse-klu
thomasmonkman-filewatch,pkg:generic/thomasmonkman-filewatch
discord-rpc,pkg:generic/discord-rpc@3.4.0
openvino,pkg:generic/openvino@2025.0.0
tinydir,pkg:generic/tinydir@1.2.6
gmime,pkg:generic/gmime@3.2.15
cpptrace,pkg:generic/cpptrace@0.8.1
kfr,pkg:generic/kfr
gsoap,pkg:generic/gsoap@2.8.112
ruckig,pkg:generic/ruckig@0.14.0
cocoyaxi,pkg:generic/cocoyaxi
boost-safe-numerics,pkg:generic/boost-safe-numerics@1.87.0
xsimd,pkg:generic/xsimd@13.1.0
qt5-serialbus,pkg:generic/qt5-serialbus@5.15.16
kubernetes,pkg:generic/kubernetes@0.6.0
cpp-taskflow,pkg:generic/cpp-taskflow@2.6.0
plf-list,pkg:generic/plf-list
poselib,pkg:generic/poselib@2.0.4
soundtouch,pkg:generic/soundtouch@2.3.3
safetyhook,pkg:generic/safetyhook
vincentlaucsb-csv-parser,pkg:generic/vincentlaucsb-csv-parser@2.3.0
berkeleydb,pkg:generic/berkeleydb@4.8.30
fltk,pkg:generic/fltk@1.3.11
flat,pkg:generic/flat
linmath,pkg:generic/linmath
plutovg,pkg:generic/plutovg@0.0.13
portable-file-dialogs,pkg:generic/portable-file-dialogs@0.1.0
opencascade,pkg:generic/opencascade@7.9.0
pqp,pkg:generic/pqp@1.3
v-hacd,pkg:generic/v-hacd@4.1.0
azure-security-attestation-cpp,pkg:generic/azure-security-attestation-cpp
boost-winapi,pkg:generic/boost-winapi@1.87.0
libsrtp,pkg:generic/libsrtp@2.5.0
cppdap,pkg:generic/cppdap
nlohmann-fifo-map,pkg:generic/nlohmann-fifo-map
wasmedge,pkg:generic/wasmedge@0.13.5
effects11,pkg:generic/effects11@11.29
boost-contract,pkg:generic/boost-contract@1.87.0
mhook,pkg:generic/mhook@2.5.1
proxy,pkg:generic/proxy@3.2.1
pocketpy,pkg:generic/pocketpy@1.4.6
ftxui,pkg:generic/ftxui
lensfun,pkg:generic/lensfun@0.3.4
manifold,pkg:generic/manifold@3.0.0
argtable2,pkg:generic/argtable2@2.13
stormlib,pkg:generic/stormlib@9.26
nana,pkg:generic/nana@1.7.4
qt5-script,pkg:generic/qt5-script@5.15.16
amd-amf,pkg:generic/amd-amf@1.4.36
libxcvt,pkg:generic/libxcvt@0.1.2
z85,pkg:generic/z85@1.0
chmlib,pkg:generic/chmlib@0.40
rapidxml-ns,pkg:generic/rapidxml-ns@1.13.2
mathgl,pkg:generic/mathgl@8.0.1
jemalloc,pkg:generic/jemalloc@5.3.0
parquet,pkg:generic/parquet@0
libopnmidi,pkg:generic/libopnmidi@1.5.1
tinycthread,pkg:generic/tinycthread
qtdeclarative,pkg:generic/qtdeclarative@6.8.2
cxxopts,pkg:generic/cxxopts
arb,pkg:generic/arb@2.21.1
openni2,pkg:generic/openni2@2.2.0.33
gli,pkg:generic/gli
libirecovery,pkg:generic/libirecovery
spatialite-tools,pkg:generic/spatialite-tools@5.1.0-a
coin-or-cgl,pkg:generic/coin-or-cgl
libsersi,pkg:generic/libsersi@0.1.0
mnn,pkg:generic/mnn@1.1.0
bluescarni-tanuki,pkg:generic/bluescarni-tanuki
wabt,pkg:generic/wabt@1.0.36
spout2,pkg:generic/spout2
marchingcubecpp,pkg:generic/marchingcubecpp
boost-program-options,pkg:generic/boost-program-options@1.87.0
lionkor-commandline,pkg:generic/lionkor-commandline
libplist,pkg:generic/libplist
libodb,pkg:generic/libodb@2.4.0
font-chef,pkg:generic/font-chef@1.1.0
cgltf,pkg:generic/cgltf@1.14
freexl,pkg:generic/freexl@2.0.0
vili,pkg:generic/vili@1.0.0+20221123
glfw3,pkg:generic/glfw3@3.4
aws-c-auth,pkg:generic/aws-c-auth@0.8.0
crfsuite,pkg:generic/crfsuite
aws-c-http,pkg:generic/aws-c-http@0.9.2
flashlight-sequence,pkg:generic/flashlight-sequence@0.0.1
plf-nanotimer,pkg:generic/plf-nanotimer
lpeg,pkg:generic/lpeg@1.1.0
zimpl,pkg:generic/zimpl@3.6.1
qtremoteobjects,pkg:generic/qtremoteobjects@6.8.2
mapbox-polylabel,pkg:generic/mapbox-polylabel
sqlpp11-connector-mysql,pkg:generic/sqlpp11-connector-mysql@0.61
qtgraphs,pkg:generic/qtgraphs@6.8.2
nghttp2,pkg:generic/nghttp2@1.65.0
libtasn1,pkg:generic/libtasn1@4.19.0
vst3sdk,pkg:generic/vst3sdk
dylib,pkg:generic/dylib
krb5,pkg:generic/krb5@1.21.3
gamedev-framework,pkg:generic/gamedev-framework
tbb,pkg:generic/tbb@2022.0.0
libmspack,pkg:generic/libmspack@0.11
calceph,pkg:generic/calceph@4.0.4
cppunit,pkg:generic/cppunit@1.15.1
mcpp,pkg:generic/mcpp@2.7.2.14
libmad,pkg:generic/libmad@0.16.4
openfbx,pkg:generic/openfbx
libsoup,pkg:generic/libsoup@3.6.0
freeimage,pkg:generic/freeimage@3.18.0
utf8h,pkg:generic/utf8h
rsm-binary-io,pkg:generic/rsm-binary-io
zug,pkg:generic/zug
pfultz2-linq,pkg:generic/pfultz2-linq
gstreamer,pkg:generic/gstreamer@1.24.12
libbson,pkg:generic/libbson@1.30.1
libevent,pkg:generic/libevent@2.1.12+20230128
physfs,pkg:generic/physfs
miniply,pkg:generic/miniply
levmar,pkg:generic/levmar@2.6
mecab,pkg:generic/mecab
imath,pkg:generic/imath@3.1.12
ltla-cppkmeans,pkg:generic/ltla-cppkmeans
darts-clone,pkg:generic/darts-clone
pciids,pkg:generic/pciids
litehtml,pkg:generic/litehtml@0.9.0
presentmon,pkg:generic/presentmon
boost-beast,pkg:generic/boost-beast@1.87.0
asmtk,pkg:generic/asmtk
tdscpp,pkg:generic/tdscpp@20250301
kf5diagram,pkg:generic/kf5diagram@2.8.0
cyrus-sasl,pkg:generic/cyrus-sasl@2.1.28
libtomcrypt,pkg:generic/libtomcrypt@1.18.2
stringzilla,pkg:generic/stringzilla@3.12.3
nanort,pkg:generic/nanort
directx12-agility,pkg:generic/directx12-agility@1.615.0
sol2,pkg:generic/sol2@3.3.1
qt5-purchasing,pkg:generic/qt5-purchasing@5.15.16
poco,pkg:generic/poco@1.14.1
libsndfile,pkg:generic/libsndfile
libxdiff,pkg:generic/libxdiff@0.23
wordnet,pkg:generic/wordnet@3.0
phnt,pkg:generic/phnt
libwebm,pkg:generic/libwebm@1.0.0.31
hpx,pkg:generic/hpx@1.10.0
rang,pkg:generic/rang@3.2
tevclient,pkg:generic/tevclient
brunocodutra-metal,pkg:generic/brunocodutra-metal@2.1.4
gz-tools2,pkg:generic/gz-tools2@2.0.0
rhasheq,pkg:generic/rhasheq
capnproto,pkg:generic/capnproto@1.1.0
mpi,pkg:generic/mpi@1
