pname,purl
stdexec,pkg:generic/stdexec
stackwalker,pkg:generic/stackwalker
node-api-headers,pkg:generic/node-api-headers@1.1.0
md4c,pkg:generic/md4c@0.5.2
tfhe,pkg:generic/tfhe
celero,pkg:generic/celero@2.9.0
boost-leaf,pkg:generic/boost-leaf@1.87.0
sparsepp,pkg:generic/sparsepp@1.22
boost-property-map-parallel,pkg:generic/boost-property-map-parallel@1.87.0
strtk,pkg:generic/strtk
cimg,pkg:generic/cimg@3.5.2
indicators,pkg:generic/indicators@2.3
cr,pkg:generic/cr
morphologica,pkg:generic/morphologica@3.4.4
opengl,pkg:generic/opengl
xtrans,pkg:generic/xtrans@1.4.0
igloo,pkg:generic/igloo@1.1.1
opengl-registry,pkg:generic/opengl-registry
vulkan,pkg:generic/vulkan
butteraugli,pkg:generic/butteraugli
cnl,pkg:generic/cnl@1.1.7
xbitmaps,pkg:generic/xbitmaps@1.1.2
libxcomposite,pkg:generic/libxcomposite@0.4.5
boost-array,pkg:generic/boost-array@1.87.0
libxscrnsaver,pkg:generic/libxscrnsaver@1.2.3
libebur128,pkg:generic/libebur128@1.2.6
boost-iostreams,pkg:generic/boost-iostreams@1.87.0
pdal-dimbuilder,pkg:generic/pdal-dimbuilder@2.8.4
python3,pkg:generic/python3@3.11.11
orc,pkg:generic/orc@2.1.0
enet,pkg:generic/enet@1.3.18
moos-essential,pkg:generic/moos-essential@10.0.1
cpr,pkg:generic/cpr
qcustomplot,pkg:generic/qcustomplot@2.1.1
dp-thread-pool,pkg:generic/dp-thread-pool@0.7.0
dyno,pkg:generic/dyno
soil2,pkg:generic/soil2@1.3.0
gmsh,pkg:generic/gmsh@4.13.1
libmem,pkg:generic/libmem@5.0.4
catch-classic,pkg:generic/catch-classic@1.12.2
speex,pkg:generic/speex@1.2.1
libodb-sqlite,pkg:generic/libodb-sqlite@2.4.0
sigslot,pkg:generic/sigslot@1.0.0
chromium-base,pkg:generic/chromium-base@86.0.4199.1
libdvdcss,pkg:generic/libdvdcss
gz-sensors,pkg:generic/gz-sensors@9.0.0
qt5-connectivity,pkg:generic/qt5-connectivity@5.15.16
ignition-modularscripts,pkg:generic/ignition-modularscripts
boost-icl,pkg:generic/boost-icl@1.87.0
gl3w,pkg:generic/gl3w
libcerf,pkg:generic/libcerf@2.4
vk-bootstrap,pkg:generic/vk-bootstrap@1.3.279
bcg729,pkg:generic/bcg729@1.1.1
qtquick3dphysics,pkg:generic/qtquick3dphysics@6.8.2
liblbfgs,pkg:generic/liblbfgs@1.10
thrift,pkg:generic/thrift@0.20.0
pravila00-make-vector,pkg:generic/pravila00-make-vector
pugixml,pkg:generic/pugixml@1.15
proxygen,pkg:generic/proxygen
ftgl,pkg:generic/ftgl@2.4.0
faad2,pkg:generic/faad2@2.11.1
boost-stl-interfaces,pkg:generic/boost-stl-interfaces@1.87.0
mapnik,pkg:generic/mapnik
matchit,pkg:generic/matchit@1.0.1
libuv,pkg:generic/libuv
libogg,pkg:generic/libogg@1.3.5
boost-mpl,pkg:generic/boost-mpl@1.87.0
qt5-sensors,pkg:generic/qt5-sensors@5.15.16
sokol,pkg:generic/sokol
gz-gui,pkg:generic/gz-gui@9.0.0
libcroco,pkg:generic/libcroco@0.6.13
xtl,pkg:generic/xtl@0.7.7
angelscript,pkg:generic/angelscript@2.37.0
asio,pkg:generic/asio@1.32.0
grantlee,pkg:generic/grantlee@5.3.1
beast,pkg:generic/beast@0
utf8-range,pkg:generic/utf8-range@5.29.3
libunwind,pkg:generic/libunwind@1.8.1
ptc-print,pkg:generic/ptc-print@1.4.1
rioki-glow,pkg:generic/rioki-glow
boost-units,pkg:generic/boost-units@1.87.0
openmesh,pkg:generic/openmesh@10.0
boost-ratio,pkg:generic/boost-ratio@1.87.0
tinytiff,pkg:generic/tinytiff@4.0.1.0
boolinq,pkg:generic/boolinq@3.0.4
ctp,pkg:generic/ctp
offscale-libetcd-cpp,pkg:generic/offscale-libetcd-cpp
ctbignum,pkg:generic/ctbignum
mstch,pkg:generic/mstch@1.0.2
angle,pkg:generic/angle
perfetto,pkg:generic/perfetto@49.0
oatpp-postgresql,pkg:generic/oatpp-postgresql@1.3.0
pdcurses,pkg:generic/pdcurses@3.9
xorstr,pkg:generic/xorstr
tinyfsm,pkg:generic/tinyfsm@0.3.3
breakpad,pkg:generic/breakpad
boost-build,pkg:generic/boost-build@1.87.0
itsy-bitsy,pkg:generic/itsy-bitsy
boost-locale,pkg:generic/boost-locale@1.87.0
miniupnpc,pkg:generic/miniupnpc@2.3.0
daw-utf-range,pkg:generic/daw-utf-range@2.2.5
geotrans,pkg:generic/geotrans@3.9
septag-sx,pkg:generic/septag-sx
p-ranav-csv2,pkg:generic/p-ranav-csv2
boost-bimap,pkg:generic/boost-bimap@1.87.0
qt5-speech,pkg:generic/qt5-speech@5.15.16
mygui,pkg:generic/mygui@3.4.3
inipp,pkg:generic/inipp@1.0.12
boost-lambda,pkg:generic/boost-lambda@1.87.0
vcglib,pkg:generic/vcglib@2023.12
libe57format,pkg:generic/libe57format@3.2.0
ryu,pkg:generic/ryu@2.0
arpack-ng,pkg:generic/arpack-ng@3.9.1
clrng,pkg:generic/clrng
libadwaita,pkg:generic/libadwaita@1.3.2
qtspeech,pkg:generic/qtspeech@6.8.2
directxmath,pkg:generic/directxmath
ade,pkg:generic/ade
flux,pkg:generic/flux@0.4.0
c9y,pkg:generic/c9y
bw-tempdir,pkg:generic/bw-tempdir@1.0.1
lightningscanner,pkg:generic/lightningscanner@1.0.1
boost-log,pkg:generic/boost-log@1.87.0
gst-rtsp-server,pkg:generic/gst-rtsp-server@1.20.5
amqpcpp,pkg:generic/amqpcpp@4.3.27
saucer,pkg:generic/saucer@2.3.0
sdl3-image,pkg:generic/sdl3-image@3.2.4
protobuf,pkg:generic/protobuf@5.29.3
qtlanguageserver,pkg:generic/qtlanguageserver@6.8.2
metis,pkg:generic/metis
healpix,pkg:generic/healpix@1.12.10
rlottie,pkg:generic/rlottie
ltla-cppirlba,pkg:generic/ltla-cppirlba
qt5-wayland,pkg:generic/qt5-wayland@5.15.16
libpq,pkg:generic/libpq@16.4
tmx,pkg:generic/tmx@1.10.0
icu,pkg:generic/icu@74.2
parmetis,pkg:generic/parmetis
libcap,pkg:generic/libcap@2.73
binlog,pkg:generic/binlog
devil,pkg:generic/devil@1.8.0
halide,pkg:generic/halide@18.0.0
leptonica,pkg:generic/leptonica@1.85.0
iowa-hills-dsp,pkg:generic/iowa-hills-dsp@0.1.0
libnice,pkg:generic/libnice@0.1.22
fruit,pkg:generic/fruit@3.7.1
gloo,pkg:generic/gloo@20240626
aws-c-common,pkg:generic/aws-c-common@0.10.6
qt5compat,pkg:generic/qt5compat@6.8.2
aws-crt-cpp,pkg:generic/aws-crt-cpp@0.29.7
qwt,pkg:generic/qwt@6.3.0
boost-preprocessor,pkg:generic/boost-preprocessor@1.87.0
squirrel,pkg:generic/squirrel
rapidcsv,pkg:generic/rapidcsv@8.84
sqlpp11-connector-sqlite3,pkg:generic/sqlpp11-connector-sqlite3@0.61
fastlz,pkg:generic/fastlz
bde,pkg:generic/bde@4.18.0.0
projectm,pkg:generic/projectm@4.1.4
aravis,pkg:generic/aravis@0.8.34
boost-convert,pkg:generic/boost-convert@1.87.0
ismrmrd,pkg:generic/ismrmrd@1.14.1
cpp-async,pkg:generic/cpp-async@1.1.0
boost-throw-exception,pkg:generic/boost-throw-exception@1.87.0
simple-fft,pkg:generic/simple-fft
coin,pkg:generic/coin@4.0.3
xbyak,pkg:generic/xbyak@7.24.2
recastnavigation,pkg:generic/recastnavigation@1.6.0
eathread,pkg:generic/eathread
qtcharts,pkg:generic/qtcharts@6.8.2
nethost,pkg:generic/nethost@8.0.3
elements,pkg:generic/elements
shapelib,pkg:generic/shapelib@1.6.1
minizip,pkg:generic/minizip@1.3.1
libsamplerate,pkg:generic/libsamplerate@0.2.2
tclap,pkg:generic/tclap@1.2.5
kdsoap,pkg:generic/kdsoap@2.2.0
realm-core,pkg:generic/realm-core@14.10.4
small-gicp,pkg:generic/small-gicp@1.0.0
gz-tools,pkg:generic/gz-tools@2.0.1
immer,pkg:generic/immer@0.8.1
mozjpeg,pkg:generic/mozjpeg@4.1.5
bxzstr,pkg:generic/bxzstr@1.2.2
freealut,pkg:generic/freealut@1.1.0
randomstr,pkg:generic/randomstr
libsrt,pkg:generic/libsrt@1.5.4
mapbox-wagyu,pkg:generic/mapbox-wagyu
wintoast,pkg:generic/wintoast@1.3.0
s2geometry,pkg:generic/s2geometry@0.11.1
cunit,pkg:generic/cunit@2.1.3
openigtlink,pkg:generic/openigtlink@3.0
fann,pkg:generic/fann
ltla-umappp,pkg:generic/ltla-umappp
vcpkg-cmake-get-vars,pkg:generic/vcpkg-cmake-get-vars
darknet,pkg:generic/darknet
qtdeviceutilities,pkg:generic/qtdeviceutilities@6.8.2
protopuf,pkg:generic/protopuf@3.0.0
ls-qpack,pkg:generic/ls-qpack@2.6.0
pango,pkg:generic/pango@1.56.1
evpp,pkg:generic/evpp@0.7.0
talib,pkg:generic/talib
gettimeofday,pkg:generic/gettimeofday
mathter,pkg:generic/mathter@2.0.0
mqtt-cpp,pkg:generic/mqtt-cpp
bext-text,pkg:generic/bext-text
foonathan-lexy,pkg:generic/foonathan-lexy@2022.12.1
boost-functional,pkg:generic/boost-functional@1.87.0
libffi,pkg:generic/libffi@3.4.7
mosquitto,pkg:generic/mosquitto@2.0.20
x86-simd-sort,pkg:generic/x86-simd-sort@5.0
readline,pkg:generic/readline@0
ensmallen,pkg:generic/ensmallen
ned14-internal-quickcpplib,pkg:generic/ned14-internal-quickcpplib
qhull,pkg:generic/qhull@8.0.2
boost-context,pkg:generic/boost-context@1.87.0
atomic-queue,pkg:generic/atomic-queue@1.6.5
libarchive,pkg:generic/libarchive@3.7.7
boost-logic,pkg:generic/boost-logic@1.87.0
skyr-url,pkg:generic/skyr-url@1.13.0
ereignis,pkg:generic/ereignis@2.3
soem,pkg:generic/soem
imageinfo,pkg:generic/imageinfo
cgal,pkg:generic/cgal@6.0.1
bgfx,pkg:generic/bgfx@1.129.8866-491
visit-struct,pkg:generic/visit-struct@1.1.0
hidapi,pkg:generic/hidapi
xpack,pkg:generic/xpack@1.0.5
reproc,pkg:generic/reproc@14.2.5
mongoose,pkg:generic/mongoose@7.17
nanomsg,pkg:generic/nanomsg
materialx,pkg:generic/materialx@1.39.1
daw-header-libraries,pkg:generic/daw-header-libraries@2.123.2
optimus-cpp,pkg:generic/optimus-cpp@0.3.0
indirect-value,pkg:generic/indirect-value
sqlite3,pkg:generic/sqlite3@3.49.1
freetype-gl,pkg:generic/freetype-gl@1.0
type-safe,pkg:generic/type-safe@0.2.4
argon2,pkg:generic/argon2@20190702
simage,pkg:generic/simage
libxpm,pkg:generic/libxpm@3.5.17
dpdk,pkg:generic/dpdk
arrow-adbc,pkg:generic/arrow-adbc@16
fineftp,pkg:generic/fineftp@1.3.4
suitesparse,pkg:generic/suitesparse
qt5-networkauth,pkg:generic/qt5-networkauth@5.15.16
unrar,pkg:generic/unrar@7.0.7
cwapi3d,pkg:generic/cwapi3d@30.475.1
dingo,pkg:generic/dingo@0.1.0
tgc,pkg:generic/tgc
dumb,pkg:generic/dumb@2.0.3
toml11,pkg:generic/toml11@4.3.0
kf5texteditor,pkg:generic/kf5texteditor@5.98.0
qt5-quickcontrols2,pkg:generic/qt5-quickcontrols2@5.15.16
ashes,pkg:generic/ashes
box2d,pkg:generic/box2d
libdatachannel,pkg:generic/libdatachannel
jaeger-client-cpp,pkg:generic/jaeger-client-cpp
detours,pkg:generic/detours@4.0.1
vulkan-validationlayers,pkg:generic/vulkan-validationlayers@1.4.304.1
wildcards,pkg:generic/wildcards@1.4.0
superlu,pkg:generic/superlu@7.0.0
python2,pkg:generic/python2@2.7.18
libgo,pkg:generic/libgo@3.1
tacopie,pkg:generic/tacopie@3.2.0
riffcpp,pkg:generic/riffcpp@2.2.4
soci,pkg:generic/soci@4.0.3
libpopt,pkg:generic/libpopt@1.16
popsift,pkg:generic/popsift@0.9
open62541pp,pkg:generic/open62541pp@0.17.0
plog,pkg:generic/plog@1.1.10
gobject-introspection,pkg:generic/gobject-introspection@1.72.0
cccapstone,pkg:generic/cccapstone
boost-dll,pkg:generic/boost-dll@1.87.0
nngpp,pkg:generic/nngpp@1.3.0
qt,pkg:generic/qt@6.8.2
xproperty,pkg:generic/xproperty@0.8.1
aws-c-io,pkg:generic/aws-c-io@0.15.3
magma,pkg:generic/magma@2.8.0
libsoundio,pkg:generic/libsoundio@2.0.0
sail,pkg:generic/sail
plf-hive,pkg:generic/plf-hive
argumentum,pkg:generic/argumentum@0.3.2
libcanberra,pkg:generic/libcanberra@0.30
libsquish,pkg:generic/libsquish@1.15
zstd,pkg:generic/zstd@1.5.7
folly,pkg:generic/folly
libssh2,pkg:generic/libssh2@1.11.1
czmq,pkg:generic/czmq
libxi,pkg:generic/libxi@1.8
simbody,pkg:generic/simbody
nativefiledialog-extended,pkg:generic/nativefiledialog-extended@1.2.1
suitesparse-spqr,pkg:generic/suitesparse-spqr
luau,pkg:generic/luau@0.665
rsig,pkg:generic/rsig
scintilla,pkg:generic/scintilla@5.5.1
asmjit,pkg:generic/asmjit
distorm,pkg:generic/distorm
kf5guiaddons,pkg:generic/kf5guiaddons@5.98.0
qt-advanced-docking-system,pkg:generic/qt-advanced-docking-system@4.4.0
unicorn,pkg:generic/unicorn@2.1.1
imguizmo,pkg:generic/imguizmo
uvw,pkg:generic/uvw@3.2.0
redis-plus-plus,pkg:generic/redis-plus-plus
glog,pkg:generic/glog@0.7.1
libmesh,pkg:generic/libmesh@1.5.0
flint,pkg:generic/flint
vcpkg-tool-gyp-next,pkg:generic/vcpkg-tool-gyp-next
libsonic,pkg:generic/libsonic@0.2.0
sockpp,pkg:generic/sockpp@1.0.0
tiff,pkg:generic/tiff@4.7.0
openvr,pkg:generic/openvr@2.5.1
libftdi,pkg:generic/libftdi@0.20
minio-cpp,pkg:generic/minio-cpp@0.3.0
libdatrie,pkg:generic/libdatrie@0.2.13
boost-outcome,pkg:generic/boost-outcome@1.87.0
jwt-cpp,pkg:generic/jwt-cpp
qtsvg,pkg:generic/qtsvg@6.8.2
graphene,pkg:generic/graphene@1.10.8
kerbal,pkg:generic/kerbal@2024.11.1
libxml2,pkg:generic/libxml2@2.13.5
nlopt,pkg:generic/nlopt@2.10.0
hedley,pkg:generic/hedley@15
pcre,pkg:generic/pcre@8.45
soxr,pkg:generic/soxr@0.1.3
kf5globalaccel,pkg:generic/kf5globalaccel@5.98.0
boost-numeric-conversion,pkg:generic/boost-numeric-conversion@1.87.0
vectorclass,pkg:generic/vectorclass
libmediainfo,pkg:generic/libmediainfo@24.12
mapbox-geojson-vt-cpp,pkg:generic/mapbox-geojson-vt-cpp
termcolor,pkg:generic/termcolor@2.1.0
cppwinrt,pkg:generic/cppwinrt@2.0.240405.15
ogre-next,pkg:generic/ogre-next@2.3.3
boost-charconv,pkg:generic/boost-charconv@1.87.0
portsmf,pkg:generic/portsmf@239
gtk3,pkg:generic/gtk3@3.24.43
any-lite,pkg:generic/any-lite
alac-decoder,pkg:generic/alac-decoder@0.2
qtwebview,pkg:generic/qtwebview@6.8.2
catch2,pkg:generic/catch2
json5-parser,pkg:generic/json5-parser@1.0.0
qt5-tools,pkg:generic/qt5-tools@5.15.16
tap-windows6,pkg:generic/tap-windows6@9.21.2-0e30f5c
civetweb,pkg:generic/civetweb@1.16
libofx,pkg:generic/libofx@0.10.9
bullet3,pkg:generic/bullet3@3.25
treehh,pkg:generic/treehh@3.18
marl,pkg:generic/marl
gdk-pixbuf,pkg:generic/gdk-pixbuf@2.42.12
opencensus-cpp,pkg:generic/opencensus-cpp
libgme,pkg:generic/libgme@0.6.3
boost-utility,pkg:generic/boost-utility@1.87.0
azure-identity-cpp,pkg:generic/azure-identity-cpp
coin-or-ipopt,pkg:generic/coin-or-ipopt
spectra,pkg:generic/spectra@1.0.1
scope-guard,pkg:generic/scope-guard
vcpkg-gn,pkg:generic/vcpkg-gn
suitesparse-lagraph,pkg:generic/suitesparse-lagraph
antlr4,pkg:generic/antlr4@4.13.2
concurrencpp,pkg:generic/concurrencpp@0.1.7
vcpkg-get-python-packages,pkg:generic/vcpkg-get-python-packages
yato,pkg:generic/yato
boost-type-traits,pkg:generic/boost-type-traits@1.87.0
libdc1394,pkg:generic/libdc1394@2.2.7
sdl2pp,pkg:generic/sdl2pp@0.16.1
xtensor-blas,pkg:generic/xtensor-blas@0.21.0
boost-tokenizer,pkg:generic/boost-tokenizer@1.87.0
ms-gdk,pkg:generic/ms-gdk@2410.1.1897
recycle,pkg:generic/recycle@7.0.0
unicorn-lib,pkg:generic/unicorn-lib
speexdsp,pkg:generic/speexdsp@1.2.1
gl2ps,pkg:generic/gl2ps@1.4.2
mpark-variant,pkg:generic/mpark-variant@1.4.0
boost-mp11,pkg:generic/boost-mp11@1.87.0
lua-compat53,pkg:generic/lua-compat53@0.10
libtracepoint,pkg:generic/libtracepoint@1.4.0
constexpr-contracts,pkg:generic/constexpr-contracts
doctest,pkg:generic/doctest@2.4.11
fastgltf,pkg:generic/fastgltf@0.8.0
oatpp-mbedtls,pkg:generic/oatpp-mbedtls@1.3.0
idyntree,pkg:generic/idyntree@12.4.0
libass,pkg:generic/libass@0.17.3
selene,pkg:generic/selene@0.3.1
josuttis-jthread,pkg:generic/josuttis-jthread
cpuid,pkg:generic/cpuid@0.7.0
pthread,pkg:generic/pthread@3.0.0
winsock2,pkg:generic/winsock2@0.0
ijg-libjpeg,pkg:generic/ijg-libjpeg
spdk-dpdk,pkg:generic/spdk-dpdk
fluidlite,pkg:generic/fluidlite
qt5-canvas3d,pkg:generic/qt5-canvas3d@0
libusbp,pkg:generic/libusbp@1.3.1
vcpkg-msbuild,pkg:generic/vcpkg-msbuild
hyperscan,pkg:generic/hyperscan@5.4.2
flashlight-cpu,pkg:generic/flashlight-cpu@0.3
shaderwriter,pkg:generic/shaderwriter@2.7.0
marble,pkg:generic/marble
rappture,pkg:generic/rappture@1.9
glibmm,pkg:generic/glibmm@2.80.1
xframe,pkg:generic/xframe@0.3.0
boost-tti,pkg:generic/boost-tti@1.87.0
sqlcipher,pkg:generic/sqlcipher@4.6.1
boost-move,pkg:generic/boost-move@1.87.0
cpptoml,pkg:generic/cpptoml@0.1.1
enkits,pkg:generic/enkits@1.11
tinyexif,pkg:generic/tinyexif@1.0.3
openxr-loader,pkg:generic/openxr-loader@1.1.45
boost-smart-ptr,pkg:generic/boost-smart-ptr@1.87.0
boost-function-types,pkg:generic/boost-function-types@1.87.0
nng,pkg:generic/nng
hfsm2,pkg:generic/hfsm2@1.10.1
numactl,pkg:generic/numactl@2.0.18
usrsctp,pkg:generic/usrsctp@0.9.5.0
oatpp,pkg:generic/oatpp@1.3.0
qt5-doc,pkg:generic/qt5-doc@5.15.16
upa-url,pkg:generic/upa-url@1.1.0
gsl-lite,pkg:generic/gsl-lite@0.42.0
activemq-cpp,pkg:generic/activemq-cpp
nvtt,pkg:generic/nvtt@2.1.2
tomlplusplus,pkg:generic/tomlplusplus@3.4.0
7zip,pkg:generic/7zip
boost-circular-buffer,pkg:generic/boost-circular-buffer@1.87.0
libxv,pkg:generic/libxv@1.0.11
minizip-ng,pkg:generic/minizip-ng@4.0.8
llvm,pkg:generic/llvm@18.1.6
libtheora,pkg:generic/libtheora
ois,pkg:generic/ois@1.5.1
boost-static-assert,pkg:generic/boost-static-assert@1.87.0
correlation-vector-cpp,pkg:generic/correlation-vector-cpp@1.0
libical,pkg:generic/libical@3.0.19
pthreadpool,pkg:generic/pthreadpool
boost-flyweight,pkg:generic/boost-flyweight@1.87.0
cppcms,pkg:generic/cppcms@1.2.1
log4cpp-log4cpp,pkg:generic/log4cpp-log4cpp@1.1.4
pffft,pkg:generic/pffft
sciter,pkg:generic/sciter@0
tensorflow,pkg:generic/tensorflow
fftw3,pkg:generic/fftw3@3.3.10
boost-spirit,pkg:generic/boost-spirit@1.87.0
srpc,pkg:generic/srpc
swenson-sort,pkg:generic/swenson-sort
bsio,pkg:generic/bsio@1.0.0
qt5-declarative,pkg:generic/qt5-declarative@5.15.16
godot-cpp,pkg:generic/godot-cpp@4.3
pulzed-mini,pkg:generic/pulzed-mini@0.9.14
curlpp,pkg:generic/curlpp
atl,pkg:generic/atl@0
cppitertools,pkg:generic/cppitertools@2.2
lunasvg,pkg:generic/lunasvg@3.2.1
zziplib,pkg:generic/zziplib@0.13.78
chakracore,pkg:generic/chakracore
libgnutls,pkg:generic/libgnutls@3.8.7.1
libxext,pkg:generic/libxext@1.3.4
kf5kio,pkg:generic/kf5kio@5.98.0
highs,pkg:generic/highs@1.9.0
openh264,pkg:generic/openh264@2.6.0
opencv4,pkg:generic/opencv4@4.10.0
winpty,pkg:generic/winpty@0.4.3
tensorpipe,pkg:generic/tensorpipe
gumbo,pkg:generic/gumbo@0.12.3
nanodbc,pkg:generic/nanodbc@2.13.0
gzip-hpp,pkg:generic/gzip-hpp@0.1.0
embree3,pkg:generic/embree3@3.13.5
libwebp,pkg:generic/libwebp@1.5.0
clara,pkg:generic/clara@1.1.5
suitesparse-cxsparse,pkg:generic/suitesparse-cxsparse
dav1d,pkg:generic/dav1d@1.5.0
nettle,pkg:generic/nettle@3.10
ncurses,pkg:generic/ncurses@6.4
rtaudio,pkg:generic/rtaudio@6.0.1
magnum-plugins,pkg:generic/magnum-plugins
open-dis-cpp,pkg:generic/open-dis-cpp@1.0.1
boost-scope,pkg:generic/boost-scope@1.87.0
igraph,pkg:generic/igraph@0.10.15
mpc,pkg:generic/mpc@1.3.1
libxlsxwriter,pkg:generic/libxlsxwriter@1.2.1
omniorb,pkg:generic/omniorb@4.3.0
azure-umqtt-c,pkg:generic/azure-umqtt-c
wpilib,pkg:generic/wpilib
cppcodec,pkg:generic/cppcodec@0.2
nanoprintf,pkg:generic/nanoprintf@0.5.3
nifticlib,pkg:generic/nifticlib
azure-security-keyvault-administration-cpp,pkg:generic/azure-security-keyvault-administration-cpp
crashrpt,pkg:generic/crashrpt@1.4.3
libharu,pkg:generic/libharu@2.4.4
boost-gil,pkg:generic/boost-gil@1.87.0
gz-cmake,pkg:generic/gz-cmake@4.1.1
meshoptimizer,pkg:generic/meshoptimizer@0.23
opencl,pkg:generic/opencl@2024.10.24
implot3d,pkg:generic/implot3d@0.2
boost-qvm,pkg:generic/boost-qvm@1.87.0
dbghelp,pkg:generic/dbghelp@0
libcrafter,pkg:generic/libcrafter@1.0
libxtst,pkg:generic/libxtst@1.2.4
apache-datasketches,pkg:generic/apache-datasketches@5.1.0
amd-adl-sdk,pkg:generic/amd-adl-sdk@17.1
clblas,pkg:generic/clblas@2.12
systemc,pkg:generic/systemc@2.3.3
boost-sort,pkg:generic/boost-sort@1.87.0
libosip2,pkg:generic/libosip2@5.3.1
kenlm,pkg:generic/kenlm@20230531
boost-compat,pkg:generic/boost-compat@1.87.0
argh,pkg:generic/argh@1.3.2
gz-rendering7,pkg:generic/gz-rendering7@7.4.1
inja,pkg:generic/inja@3.4.0
dataframe,pkg:generic/dataframe@3.4.0
freerdp,pkg:generic/freerdp@3.8.0
docopt,pkg:generic/docopt
inih,pkg:generic/inih@58
openvpn3,pkg:generic/openvpn3@3.10
blitz,pkg:generic/blitz
lief,pkg:generic/lief
kf5sonnet,pkg:generic/kf5sonnet@5.98.0
ginkgo,pkg:generic/ginkgo
boost-type-erasure,pkg:generic/boost-type-erasure@1.87.0
lerc,pkg:generic/lerc@4.0.4
qtquicktimeline,pkg:generic/qtquicktimeline@6.8.2
rbdl,pkg:generic/rbdl@3.3.0
vtk-dicom,pkg:generic/vtk-dicom@0.8.16
roaring,pkg:generic/roaring@4.2.1
live555,pkg:generic/live555
astr,pkg:generic/astr@0.2.1
knet,pkg:generic/knet@1.1.0
